characteristic,model
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",HILTON HIC 150
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 42 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gefest 3200-08 K33
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Gorenje ICM 2000 SP
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Grunhelm GI-A2213
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5341 XF
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5351 WF
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6100-03 0004
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje EIT 5355 WPG
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 67 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gorenje GI 5322 WF-B
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-00-20 AA
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5342 WF
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 64 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gorenje GI 6322 WA
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 66 л, 3.3 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Bosch HXS 59AI50Q
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '27.5 см'}",Domotec MS 5832
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 1 шт, індукція 1 шт', 'Ширина плити:': '66 см'}",HILTON HIC 302
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 53 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Zanussi ZCG9210M1W
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gefest 5100-04 0002
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '56 см'}",Midea MC-ID356-Y
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л, 3.5 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMS56069
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '26.5 см'}",Xiaomi Mijia Home Induction Cooker
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': 'електрична', 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Beko FSM 52120 DW
